decreto legislativo,dlgs
decreto legge,dl
decreto-legge,dl
decreto ministeriale,dm
dm,dm
dpcm,dpcm
decreto del presidente del consiglio dei ministri,dpcm
decreto del presidente della repubblica,dpr
dpr,dpr
legge costituzionale,l_cost
direttiva europea,dir_eu
canone,can
circolare ministeriale,circ_min
codice civile,cod_civile
codice dei beni culturali e del paesaggio,cbn
codice della navigazione,cdn
codice di diritto canonico,cdc
codice penale,cod_penale
codice di procedura civile,cpc
codice di procedura penale,cpp
codice stradale,cod_strad
codice penale militare di pace,cpmp
costituzione della repubblica italiana,costituzione
decreto del presidente della giunta regionale,dpgr
decreto del presidente della regione,dpreg
decreto dell’assessore regionale,dareg
decreto dell’assessore provinciale,daprov
decreto dell’assessore comunale,dacom
decreto legislativo luogotenenziale ,dlgt
delibera del consiglio regionale,delib_cr
delibera della giunta regionale,delib_gr
delibera del consiglio provinciale,delib_cp
delibera della giunta regionale,delib_gr
delibera del consiglio comunale,delib_cc
delibera della giunta comunale,delib_gc
direttiva comunità europea,dir_ce
direttiva ce,dir_ce
direttiva comunità economia europea,dir_cee
direttiva cee,dir_cee
direttiva ue,dir_ue
disegno di legge,ddl
legge di bilancio,l_bil
legge finanziaria,l_fin
legge provinciale,l_prov
legge regionale,l_reg
legge statale,l 
legge,l 
ordinanza del presidente del consiglio dei ministri,opcm
ordinanza ministeriale,omin
regio decreto,rd
regio decreto legge,rdl
regolamento comunità europea,reg_ce
regolamento ce,reg_ce
regolamento comunità economia europea,reg_cee
regolamento cee,reg_cee
regolamento ue,reg_ue
regolamento governativo,reg_gov
regolamento ministeriale,reg_min
regolamento regionale,reg_r
regolamento parlamentare,reg_p
sentenza della corte costituzionale,sent_cc
sentenza della suprema corte di cassazione,sent_scc
sentenza della corte di cassazione,sent_ccas
testo unico,tu
contratto collettivo nazionale del lavoro,ccnl
contratto collettivo integrativo del lavoro,ccil
articolo,art
direttiva,dirett
