ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,keep
province autonome trento bolzano ,12,0.0002296783,32.38754,0.7282085,0.0008,0.0007,0.0002,0.0003,1
politiche agricole alimentari forestali ,14,0.0002679580,32.10733,0.7301595,0.0017,0.0003,0.0003,0.0003,1
supplemento ordinario gazzetta ufficiale ,10,0.0001913985,30.97260,0.7149107,0.0002,0.0006,0.0008,0.0009,1
quadro temporaneo misure aiuto ,12,0.0002296783,30.95196,0.7191431,0.0004,0.0003,0.0016,0.0005,0
conferenza stato autonomie locali ,17,0.0003253775,30.70249,0.7260317,0.0010,0.0003,0.0006,0.0009,1
sede conferenza statoà autonomie ,13,0.0002488181,29.93025,0.7142768,0.0012,0.0010,0.0003,0.0006,0
sede conferenza permanente rapporti ,10,0.0001913985,29.56240,0.7053187,0.0012,0.0010,0.0003,0.0006,0
intesa sede conferenza statoà ,13,0.0002488181,29.50410,0.7113412,0.0008,0.0012,0.0010,0.0003,0
ministero affari esteri cooperazione_internazionale ,11,0.0002105384,29.33786,0.7060604,0.0034,0.0005,0.0005,0.0003,1
inquadrare area posizione economica ,12,0.0002296783,29.08433,0.7064031,0.0004,0.0011,0.0007,0.0013,0
finanziarie disponibili legislazione vigente ,10,0.0001913985,28.11679,0.6947921,0.0005,0.0011,0.0007,0.0015,0
conferenza permanente rapporti stato ,16,0.0003062377,27.98326,0.7056444,0.0010,0.0003,0.0006,0.0059,0
sensi paragrafo trattato funzionamento ,12,0.0002296783,27.96233,0.6981780,0.0062,0.0003,0.0005,0.0009,0
permanente rapporti stato regioni_province_autonome_trento_bolzano ,16,0.0003062377,27.92883,0.7052398,0.0003,0.0006,0.0059,0.0010,0
dipartimento ragioneria generale stato ,17,0.0003253775,27.36460,0.7025536,0.0011,0.0003,0.0009,0.0059,0
temporaneo misure aiuto stato ,12,0.0002296783,27.21871,0.6924681,0.0003,0.0016,0.0005,0.0059,0
finanze dipartimento ragioneria generale ,10,0.0001913985,27.20538,0.6877598,0.0038,0.0011,0.0003,0.0009,0
nuovi maggiori oneri carico ,10,0.0001913985,26.72551,0.6839254,0.0007,0.0009,0.0023,0.0012,0
sostegno economia attuale emergenza ,12,0.0002296783,26.64714,0.6879302,0.0011,0.0043,0.0003,0.0015,0
economia attuale emergenza covid-19 ,12,0.0002296783,26.04632,0.6830134,0.0043,0.0003,0.0015,0.0017,0
assumere contratto lavoro tempo ,12,0.0002296783,26.01094,0.6827191,0.0005,0.0012,0.0035,0.0015,0
