ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,ni.5,keep
alta formazione artistica musicale coreutica ,12,0.0002262870,45.02619,0.7880564,0.0003,0.0016,0.0002,0.0002,0.0002,1
intesa sede conferenza statoà autonomie ,13,0.0002451443,40.26276,0.7704783,0.0008,0.0012,0.0010,0.0003,0.0006,0
sede conferenza statoà autonomie locali ,13,0.0002451443,40.07436,0.7696478,0.0012,0.0010,0.0003,0.0006,0.0009,0
quadro temporaneo misure aiuto stato ,12,0.0002262870,38.45364,0.7605065,0.0004,0.0003,0.0016,0.0005,0.0058,0
temporaneo misure aiuto stato sostegno ,12,0.0002262870,37.07070,0.7537719,0.0003,0.0016,0.0005,0.0058,0.0011,0
sede conferenza permanente rapporti stato ,10,0.0001885725,37.06408,0.7497285,0.0012,0.0010,0.0003,0.0006,0.0058,0
conferenza permanente rapporti stato regioni ,16,0.0003017160,36.61299,0.7579151,0.0010,0.0003,0.0006,0.0058,0.0026,0
ministero ambiente tutela territorio mare ,13,0.0002451443,36.26797,0.7514801,0.0036,0.0007,0.0012,0.0017,0.0006,1
assumere contratto lavoro tempo indeterminato ,10,0.0001885725,36.14912,0.7450091,0.0005,0.0012,0.0035,0.0015,0.0008,0
regioni province autonome trento bolzano ,54,0.0010182915,36.14868,0.7843351,0.0026,0.0018,0.0017,0.0013,0.0013,1
sostegno economia attuale emergenza covid-19 ,12,0.0002262870,35.89830,0.7477588,0.0011,0.0043,0.0003,0.0015,0.0017,0
aiuto stato sostegno economia attuale ,12,0.0002262870,35.76994,0.7470826,0.0005,0.0058,0.0011,0.0043,0.0003,0
permanente rapporti stato regioni province ,16,0.0003017160,35.71365,0.7533227,0.0003,0.0006,0.0058,0.0026,0.0018,0
anno_2027 euro anno_2028 euro anno_2029 ,10,0.0001885725,35.60521,0.7421184,0.0004,0.0089,0.0004,0.0089,0.0003,0
finanziamento fabbisogno sanitario nazionale standard ,10,0.0001885725,35.55525,0.7418496,0.0019,0.0007,0.0011,0.0035,0.0007,0
