"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","topic11"
"1","acquisti","trenta","tariffa","realizzati","suddetto","spetta","ristoro","rispettivi","aiuto","trattamenti","sviluppo"
"2","interessati","relativo","documento","dl_24_4_2017_n_50","estero","capitolo","sostenuta","attiva","incrementare","luglio","generation"
"3","attive","approvvigionamento","adempimento","pubblica_amministrazione","ragione","pubbliche","operazioni","posto","aziendale","aiuto","bando"
"4","requisito","determinato","professionali","scuola","scopo","settore","disposizioni","selezione","ricognizione","misure_sostegno","risultante"
"5","criteri","eventi","elevata","cura","donne","aumento","esecuzione","assegnazione","corpo","dpr_22_12_1986_n_917","definite"
"6","dirigenziale","gestori","rilevanti","concernenti","istituzioni","dirigenti","diffusione","agricolo","destinati","sociale","predisposizione"
"7","immobiliari","dlgs_30_12_1992_n_502","conseguente","onere_derivante","comprese","individuate","percentuali","istituzioni_scolastiche","proprietà","regolarità","aggiornamento"
"8","modalità_attuazione","quota","epidemia","energetica","minori_entrate","onere","operazione","infermieri","finanze","rendicontazione","erogata"
"9","fruizione","l_23_12_2014_n_190","direttore","finalizzato","dipartimento","autorizzata_spesa_euro","medicinali","comunicazione","dodici","individua","deposito"
"10","progetti","criteri","allegato_annesso","beni_strumentali","adottati","permanente","professioni","prodotti","ricavi","realizzati","registro"
"11","termini","sistemi","trattato_funzionamento_unione_europea","tenuto","attuale","prorogato","conoscenza","sostituito","stanziate","sezione","superiori"
"12","massima","condizione","concessi","elenco","euro","disciplinati","dlgs_14_9_2015_n_148","contrattazione","liquidazione","conseguenti","crisi"
"13","straordinaria","richiesti","strada","adempimento","fatture","residenti","tenuto_conto","sanitari","sanitaria","restituzione","certificazioni"
"14","compiti","periodo_compreso","efficace","forma","istituzionali","fine_potenziare","fondazioni","divieto","domanda","politiche","disciplina"
"15","allegato_annesso","residenti","ulteriori","accertamento","versamenti","vendita","stabilito","unione_europea","assegno","supplemento_ordinario_gazzetta_ufficiale","utilizzazione"
"16","atti","proprietà","ciclo","assicurazione","negativi","introdotto","posti","epidemiologica","agricole","procede","investimento"
"17","importo_pari","limiti","riconoscere","finanziati","documentazione","dichiarazione","infrastruttura","dl_n_91_del_2013","installazione","strada","pari_importo"
"18","contratti","l_31_12_2009_n_196","trasporto","situati","telematica","superiori","chilometro","stabiliti_criteri_modalità","periodi","tasso","trasferimenti"
"19","quattro","ambientale","approvvigionamento","programma_next_generation","integrazione_salariale","ordine","assegnazione","nuova","consiglio","sistema","metropolitana"
"20","valutazione","valori","soluzione","universitari","riservate","accertamento","verifica","svolta","valori","suddette","stato"
"21","coperti","incarico","corrispondente_riduzione","mondo","procede","ottobre","effetti","massimo","deliberazione_cipe","amministrazioni_pubbliche","procedure_concorsuali"
"22","programma_next_generation","professionisti","rete","settore","successiva","successiva","indicata","studio","corrisposti","energia","specifiche"
"23","disponibili","indennità","maggiori_oneri","dl_22_6_2012_n_83","eventuale","cassa","pensionistico","attività","derivante","fine_garantire","decreti"
"24","beneficiari","amministrativa","fondi","flessibile","funzionalità","famiglia","centri","docente","connessi","complessivamente","comunale"
"25","previsione","periodo_precedente","contratti","persone_fisiche","parola","organizzative","prestazioni","perdita","restituita","disciplinate","nuove"
"26","erogati","referendum","regionali","assistita","infrastrutture","ministero_del_lavoro","sistema","accordi","agenzia_delle_entrate","sottoscrizione","scolastici"
"27","private","interventi","effettivo","posizione","l_21_6_2017_n_96","manutenzione","istituti","organiche","presentare","particolare_riferimento","effettuata"
"28","destinati","limite_massimo","straordinaria","regionali","spettanti","sostegno","comune","risulti","norme","scolastiche","straordinario"
"29","prodotto","direttori","oneri","professionali","posto","previsti","finanze","prodotto","perdite","ministero_della_giustizia","diffusione"
"30","detrazione","perdita","docente","imposte_anticipate","disponibili","contribuire","partire","decadenza","istituito","eventualmente","dl_14_10_2019_n_111"
